x_average    y_average    x_main    y_main    r_main    votes   
-7.549    1.27471    -7.42484    1.22226    0.15    15
-7.30178    4.36512    -7.24484    4.49226    0.15    17
-4.50967    -4.92998    -4.51484    -4.95774    0.15    10
-4.18514    1.26836    -4.21484    1.22226    0.09    11
-1.56961    -7.55702    -1.63484    -7.65774    0.15    17
-1.27021    -1.443    -1.30484    -1.53774    0.12    14
-1.1516    4.4107    -1.24484    4.85226    0.48    11
-1.29306    1.21955    -1.33484    1.28226    0.12    19
-1.26536    7.13416    -1.27484    7.22226    0.15    14
1.43247    -1.66847    1.48516    -1.68774    0.12    19
1.47771    1.31176    1.60516    1.37226    0.15    11
1.78915    7.2699    1.75516    7.25226    0.12    13
1.74186    -4.45947    1.66516    -4.47774    0.09    12
4.19222    -7.63405    4.36516    -7.77774    0.21    15
-7.27817    -1.70374    -7.27484    -1.65774    0.12    9
-4.34273    -1.31037    -4.66484    -1.20774    0.42    7
-4.15205    4.35691    -4.12484    4.43226    0.27    8
4.70966    1.31576    4.54516    1.28226    0.12    9
4.51592    7.3149    4.84516    7.31226    0.36    9
7.48262    -4.84994    7.42516    -4.83774    0.21    10
7.60516    4.34226    7.60516    4.34226    0.06    5
-4.55234    -7.89024    -4.54484    -7.80774    0.09    6
-4.08884    7.22826    -4.18484    7.19226    0.12    6
7.58395    -1.65925    7.54516    -1.68774    0.15    9
7.50266    1.30976    7.48516    1.31226    0.15    7
