plot	tree	treeid	h	d1	d2	d	underkant_vit_lapp	Ref_H_spik	c_medurs	c_moturs
10	35	12584	14.45	273	263	268	0	1.73	-1	-1
10	35	12584	14.05	279	273	276	0	1.73	-1	-1
10	35	12584	13.2	288	287	287.5	0	1.73	-1	-1
10	35	12584	11.9	313	301	307	0	1.73	-1	-1
10	35	12584	10.9	315	312	313.5	0	1.73	-1	-1
10	35	12584	10	331	320	325.5	0	1.73	-1	-1
10	35	12584	9	344	331	337.5	0	1.73	-1	-1
10	35	12584	8	360	339	349.5	0	1.73	-1	-1
10	35	12584	7	361	361	361	0	1.73	-1	-1
10	35	12584	6	375	370	372.5	0	1.73	-1	-1
10	35	12584	5	381	375	378	0	1.73	-1	-1
10	35	12584	4	391	399	395	0	1.73	-1	-1
10	35	12584	3	409	413	411	0	1.73	-1	-1
10	35	12584	2	420	429	424.5	0	1.73	-1	-1
10	35	12584	1.63	430	441	435.5	1	1.73	-1	-1
10	35	12584	1.3	432	449	440.5	0	1.73	-1	-1
10	35	12584	1	450	469	459.5	0	1.73	-1	-1
10	17	12566	14.5	54	55	54.5	0	1.07	-1	-1
10	17	12566	14.1	61	61	61	0	1.07	-1	-1
10	17	12566	13.1	75	75	75	0	1.07	-1	-1
10	17	12566	12.1	85	89	87	0	1.07	-1	-1
10	17	12566	11.05	96	100	98	0	1.07	-1	-1
10	17	12566	10	109	110	109.5	0	1.07	-1	-1
10	17	12566	9.05	118	122	120	0	1.07	-1	-1
10	17	12566	8	131	135	133	0	1.07	-1	-1
10	17	12566	7.1	146	147	146.5	0	1.07	-1	-1
10	17	12566	6.1	160	163	161.5	0	1.07	-1	-1
10	17	12566	5.05	172	176	174	0	1.07	-1	-1
10	17	12566	4.05	185	190	187.5	0	1.07	-1	-1
10	17	12566	3	200	202	201	0	1.07	-1	-1
10	17	12566	2.2	211	210	210.5	0	1.07	-1	-1
10	17	12566	1.3	226	225	225.5	0	1.07	-1	-1
10	17	12566	1.03	228	230	229	1	1.07	-1	-1
10	17	12566	1	227	233	230	0	1.07	-1	-1
