tree   x   y   rad   votes   z_min   z_max   points
1   -7.42379   1.24825   0.15   17   -0.6   -0.1   994   
1   -7.42832   1.23424   0.15   19   -0.1   0.4   963   
1   -7.43184   1.24074   0.15   22   0.4   0.9   776   
1   -7.44888   1.23384   0.125   15   0.9   1.4   566   
1   -7.44855   1.24655   0.125   19   1.4   1.9   435   
1   -7.43769   1.25345   0.125   23   1.9   2.4   341   
1   -7.43454   1.27229   0.125   22   2.4   2.9   257   
1   -7.42869   1.28205   0.125   22   2.9   3.4   222   
1   -7.44894   1.3037   0.125   23   3.4   3.9   202   
1   -7.42666   1.31595   0.125   24   3.9   4.4   125   
1   -7.44367   1.32306   0.125   20   4.4   4.9   111   
1   -7.45073   1.31868   0.125   21   4.9   5.4   106   
1   -7.44326   1.32434   0.1   19   5.4   5.9   92   
1   -7.44631   1.30342   0.1   17   5.9   6.4   99   
1   -7.456   1.33643   0.1   16   6.4   6.9   86   
1   -7.43874   1.32562   0.1   16   6.9   7.4   86   
1   -7.43814   1.34295   0.1   19   7.4   7.9   67   
1   -7.46054   1.32822   0.1   18   7.9   8.4   73   
1   -7.43955   1.33271   0.1   21   8.4   8.9   87   
1   -7.45178   1.34284   0.1   15   8.9   9.4   69   
1   -7.48852   1.33992   0.1   18   9.4   9.9   61   
1   -7.49011   1.32139   0.1   14   9.9   10.4   67   
1   -7.45488   1.35358   0.1   15   10.4   10.9   91   
1   -7.47958   1.35473   0.1   13   10.9   11.4   55   
1   -7.45338   1.34979   0.1   11   11.4   11.9   44   
1   -7.46168   1.35214   0.1   13   11.9   12.4   55   
1   -7.47394   1.28993   0.1   10   12.4   12.9   91   
1   -7.4459   1.39295   0.1   11   12.9   13.4   60   
1   -7.59165   1.45837   0.1   9   13.4   13.9   89   
1   -7.91989   0.808881   0.075   8   13.9   14.4   63   
1   -7.48894   1.45015   0.05   7   14.4   14.9   49   
1   -7.42565   1.49673   0.05   6   14.9   15.4   35   
1   -7.61614   1.55272   0.075   6   15.4   15.9   50   
1   -7.94413   1.48541   0.075   7   15.9   16.4   76   
1   -7.45495   1.46436   0.075   6   16.4   16.9   69   
1   -7.42297   1.45416   0.075   6   16.9   17.4   27   
1   -7.58559   0.98144   0.075   6   17.4   17.9   87   
1   -7.08276   1.17187   0.075   6   17.9   18.4   82   
1   -7.68705   0.967546   0.075   6   18.4   18.9   68   
1   -7.98858   1.0111   0.075   4   18.9   19.4   56   
1   -7.35822   1.44434   0.025   3   19.4   19.9   16   
1   -7.45031   1.39105   0.025   3   19.9   20.4   32   
1   -7.61892   1.21805   0.025   3   20.4   20.9   34   
1   -8.01405   1.44602   0.05   3   20.9   21.4   12   
1   -7.00936   1.70134   0.05   3   21.4   21.9   15   
2   -7.20568   4.39556   0.175   34   -0.6   -0.1   562   
2   -7.20713   4.4152   0.175   28   -0.1   0.4   553   
2   -7.23977   4.46116   0.15   21   0.4   0.9   475   
2   -7.24379   4.48394   0.15   23   0.9   1.4   422   
2   -7.23817   4.50598   0.15   28   1.4   1.9   429   
2   -7.218   4.51403   0.15   30   1.9   2.4   429   
2   -7.23265   4.5346   0.15   30   2.4   2.9   378   
2   -7.22276   4.54715   0.15   29   2.9   3.4   285   
2   -7.21122   4.54186   0.15   27   3.4   3.9   219   
2   -7.206   4.54477   0.125   26   3.9   4.4   133   
2   -7.19203   4.5417   0.125   23   4.4   4.9   122   
2   -7.19886   4.56677   0.125   26   4.9   5.4   111   
2   -7.17703   4.58584   0.125   29   5.4   5.9   97   
2   -7.16453   4.59723   0.125   25   5.9   6.4   85   
2   -7.1423   4.61125   0.125   24   6.4   6.9   79   
2   -7.12964   4.64167   0.125   21   6.9   7.4   76   
2   -7.12247   4.62818   0.125   22   7.4   7.9   103   
2   -7.10586   4.64455   0.125   19   7.9   8.4   83   
2   -7.09611   4.67173   0.125   18   8.4   8.9   58   
2   -7.09286   4.69673   0.125   20   8.9   9.4   69   
2   -7.06907   4.72172   0.125   20   9.4   9.9   64   
2   -7.07953   4.74673   0.1   11   9.9   10.4   64   
2   -7.05354   4.74673   0.1   13   10.4   10.9   58   
2   -7.0374   4.74673   0.1   12   10.9   11.4   65   
2   -7.04999   4.74673   0.1   14   11.4   11.9   43   
2   -7.02499   4.77173   0.1   14   11.9   12.4   42   
2   -7.04434   4.77173   0.1   11   12.4   12.9   67   
2   -7.02499   4.81598   0.1   12   12.9   13.4   37   
2   -7.02249   4.82173   0.1   13   13.4   13.9   62   
2   -6.83847   4.52101   0.075   10   13.9   14.4   78   
2   -6.77981   4.35723   0.075   7   14.4   14.9   84   
2   -7.03699   4.8529   0.075   7   14.9   15.4   74   
2   -7.11372   4.85949   0.075   6   15.4   15.9   56   
2   -7.22361   4.65936   0.025   4   15.9   16.4   46   
2   -7.45371   4.11875   0.05   4   16.4   16.9   46   
2   -7.03184   4.92472   0.075   6   16.9   17.4   55   
2   -6.697   4.03435   0.075   5   17.4   17.9   53   
2   -7.07942   4.9578   0.075   6   17.9   18.4   46   
2   -7.20224   4.95845   0.075   6   18.4   18.9   65   
2   -7.10272   3.93266   0.05   5   18.9   19.4   80   
2   -6.87288   4.87441   0.05   5   19.4   19.9   74   
2   -7.48711   4.33277   0.075   5   19.9   20.4   41   
2   -6.99426   4.95951   0.075   5   20.4   20.9   44   
2   -7.12175   3.85768   0.05   4   20.9   21.4   30   
2   -7.26801   3.90857   0.025   3   21.4   21.9   23   
2   -7.26479   4.36448   0.025   3   21.9   22.4   17   
2   -7.65392   3.96955   0.025   3   22.4   22.9   24   
2   -7.78975   4.83193   0.05   3   22.9   23.4   14   
3   -7.27518   -1.68175   0.1   14   -0.6   -0.1   113   
3   -7.28261   -1.66916   0.1   12   -0.1   0.4   113   
3   -7.28002   -1.65327   0.1   14   0.4   0.9   109   
3   -7.2829   -1.65327   0.1   15   0.9   1.4   110   
3   -7.28819   -1.62827   0.1   17   1.4   1.9   161   
3   -7.28426   -1.60327   0.1   18   1.9   2.4   166   
3   -7.29514   -1.58583   0.1   15   2.4   2.9   187   
3   -7.28455   -1.5539   0.1   23   2.9   3.4   185   
3   -7.28074   -1.54321   0.1   22   3.4   3.9   168   
3   -7.25047   -1.4921   0.1   17   3.9   4.4   139   
3   -7.29049   -1.45327   0.1   15   4.4   4.9   131   
3   -7.25291   -1.40327   0.075   17   4.9   5.4   104   
3   -7.24408   -1.35327   0.075   17   5.4   5.9   123   
3   -7.22842   -1.32827   0.075   12   5.9   6.4   97   
3   -7.20762   -1.27827   0.075   16   6.4   6.9   85   
3   -7.21175   -1.22827   0.075   16   6.9   7.4   86   
3   -7.19999   -1.15327   0.075   14   7.4   7.9   78   
3   -7.17499   -1.12827   0.075   12   7.9   8.4   53   
3   -7.16457   -1.10327   0.075   10   8.4   8.9   36   
3   -7.13501   -1.05327   0.075   7   8.9   9.4   19   
3   -7.61428   -2.16905   0.05   7   9.4   9.9   66   
3   -7.24721   -2.3013   0.075   12   9.9   10.4   175   
3   -7.03966   -1.08985   0.025   4   10.4   10.9   8   
3   -7.70113   -1.63332   0.05   8   10.9   11.4   68   
3   -7.02499   -1.41218   0.075   5   11.4   11.9   17   
3   -6.87499   -1.55327   0.075   5   11.9   12.4   14   
3   -7.47755   -1.10327   0.025   6   13.4   13.9   15   
3   -7.00935   -1.52827   0.025   3   15.4   15.9   13   
3   -7.64906   -1.22827   0.05   3   15.9   16.4   6   
3   -7.55539   -1.35801   0.075   5   16.4   16.9   25   
3   -7.56761   -1.32827   0.05   4   16.9   17.4   14   
3   -7.27373   -1.17011   0.05   3   17.9   18.4   16   
3   -7.74979   -2.11365   0.075   6   18.4   18.9   74   
3   -7.8853   -1.72839   0.05   4   18.9   19.4   63   
3   -7.58197   -2.22508   0.025   3   19.4   19.9   33   
3   -6.73599   -2.06554   0.025   3   19.9   20.4   18   
