x_average   y_average   x_main   y_main   r_main   votes   z_min   z_max
-9.9707    4.44654   -9.81249   4.43423   0.175   5   0.41   0.9
-7.49626    1.34253   -7.43749   1.23423   0.15   16   0.41   0.9
-7.32253    4.34782   -7.21249   4.45923   0.175   16   0.41   0.9
-7.31093    -1.59859   -7.28749   -1.76577   0.2   5   0.41   0.9
-7.06606    7.17351   -7.08749   7.13423   0.025   3   0.41   0.9
-4.5259    -4.82074   -4.51249   -4.94077   0.125   8   0.41   0.9
-4.28761    1.22454   -4.23749   1.23423   0.1   6   0.41   0.9
-4.29299    4.23448   -4.11249   4.28422   0.175   6   0.41   0.9
-1.56804    -7.59514   -1.63749   -7.69077   0.15   5   0.41   0.9
-1.28438    1.17949   -1.33749   1.25923   0.125   14   0.41   0.9
-1.26002    -1.50772   -1.28749   -1.59077   0.1   12   0.41   0.9
-1.29589    7.19968   -1.28749   7.18423   0.125   8   0.41   0.9
-1.22547    4.31165   -1.21249   4.43423   0.125   9   0.41   0.9
1.40416    -1.68025   1.46251   -1.71577   0.1   13   0.41   0.9
1.47192    1.25764   1.56251   1.35923   0.125   13   0.41   0.9
1.64267    -4.62704   1.61251   -4.54077   0.1   10   0.41   0.9
1.6782    7.2437   1.78751   7.18423   0.15   7   0.41   0.9
4.1986    -7.6272   4.28751   -7.76578   0.175   16   0.41   0.9
4.46354    1.2382   4.51251   1.28423   0.125   6   0.41   0.9
7.57807    -1.68929   7.53751   -1.69077   0.125   7   0.41   0.9
7.47391    1.17501   7.51251   1.23423   0.125   5   0.41   0.9
-4.39292    -1.5136   -4.33749   -1.51577   0.05   4   0.41   0.9
-4.13624    7.14423   -4.16249   7.15923   0.1   5   0.41   0.9
4.54633    7.25923   4.61251   7.25923   0.125   5   0.41   0.9
7.19699    -4.85715   7.36251   -4.86578   0.175   8   0.41   0.9
-4.49749    -7.80077   -4.51249   -7.81577   0.075   3   0.41   0.9
-7.50196    1.33134   -7.43734   1.24549   0.125   19   0.91   1.39
-7.27908    4.37273   -7.23734   4.47049   0.15   20   0.91   1.39
-7.32632    -1.58811   -7.28734   -1.62951   0.1   5   0.91   1.39
-7.31848    -4.56284   -7.33734   -4.57951   0.1   5   0.91   1.39
-4.50526    -4.8254   -4.51234   -4.92951   0.125   11   0.91   1.39
-4.51934    -7.78451   -4.56234   -7.80451   0.1   4   0.91   1.39
-4.28797    1.20944   -4.23734   1.22049   0.1   11   0.91   1.39
-4.15326    4.22038   -4.13734   4.32049   0.175   8   0.91   1.39
-4.12291    7.22242   -4.18734   7.17049   0.1   5   0.91   1.39
-1.51324    -7.60406   -1.68734   -7.70451   0.2   12   0.91   1.39
-1.30317    1.19396   -1.33734   1.27049   0.1   13   0.91   1.39
-1.28993    -1.48899   -1.31234   -1.57951   0.125   14   0.91   1.39
-1.25156    4.36543   -1.21234   4.47049   0.175   10   0.91   1.39
-1.24428    7.14549   -1.28734   7.19549   0.15   10   0.91   1.39
1.44092    -1.68788   1.48766   -1.70451   0.1   18   0.91   1.39
1.48565    1.2617   1.53766   1.34549   0.1   15   0.91   1.39
1.67667    -4.51659   1.66266   -4.47951   0.1   17   0.91   1.39
1.68549    7.21246   1.76266   7.24549   0.125   12   0.91   1.39
4.20535    -7.63535   4.31266   -7.75451   0.175   22   0.91   1.39
4.47279    1.22049   4.51266   1.29549   0.125   7   0.91   1.39
4.49365    7.24763   4.61266   7.29549   0.15   11   0.91   1.39
4.65404    4.40886   4.68766   4.37049   0.1   4   0.91   1.39
7.28588    -4.80904   7.36266   -4.85451   0.175   11   0.91   1.39
7.41623    1.21322   7.48766   1.32049   0.175   8   0.91   1.39
7.51648    -1.6949   7.53766   -1.67951   0.125   11   0.91   1.39
7.61669    4.33703   7.61266   4.39549   0.05   4   0.91   1.39
-7.6095    -7.57894   -7.58734   -7.57951   0.075   5   0.91   1.39
-7.0639    7.20799   -7.06234   7.22049   0.075   4   0.91   1.39
-4.3742    -1.38671   -4.43734   -1.50451   0.15   4   0.91   1.39
-9.97004    7.10976   -10.061   7.10976   0.075   4   1.4   1.89
-7.62184    -7.54826   -7.61099   -7.56524   0.075   4   1.4   1.89
-7.49345    1.32315   -7.436   1.25976   0.125   20   1.4   1.89
-7.2945    -1.55344   -7.286   -1.64024   0.1   14   1.4   1.89
-7.25806    4.41525   -7.23599   4.50976   0.15   26   1.4   1.89
-7.26901    -4.47863   -7.311   -4.56524   0.1   7   1.4   1.89
-7.02193    7.26185   -7.01099   7.28476   0.05   5   1.4   1.89
-4.47233    -7.79222   -4.561   -7.81524   0.1   6   1.4   1.89
-4.50195    -4.83321   -4.51099   -4.94024   0.125   13   1.4   1.89
-4.30504    -1.27113   -4.36099   -1.34024   0.1   11   1.4   1.89
-4.19846    1.20819   -4.21099   1.23476   0.1   17   1.4   1.89
-4.14989    4.25603   -4.11099   4.35976   0.175   8   1.4   1.89
-4.13416    7.20124   -4.186   7.20976   0.1   10   1.4   1.89
-1.53418    -7.59982   -1.63599   -7.66524   0.15   18   1.4   1.89
-1.32733    7.17724   -1.28599   7.20976   0.15   13   1.4   1.89
-1.26682    -1.4505   -1.31099   -1.51524   0.1   14   1.4   1.89
-1.29079    1.24345   -1.33599   1.30976   0.1   15   1.4   1.89
-1.17788    4.38462   -1.03599   4.48476   0.075   8   1.4   1.89
1.43729    -1.68367   1.46401   -1.69024   0.1   17   1.4   1.89
1.48609    1.30984   1.53901   1.35976   0.1   14   1.4   1.89
1.74743    -4.42305   1.71401   -4.39024   0.1   14   1.4   1.89
1.6914    7.25697   1.76401   7.25976   0.125   12   1.4   1.89
4.22379    -7.64367   4.31401   -7.74024   0.175   20   1.4   1.89
4.48453    1.25831   4.53901   1.28476   0.125   12   1.4   1.89
4.50901    7.25031   4.61401   7.30976   0.15   13   1.4   1.89
4.63214    4.4056   4.63901   4.43476   0.1   6   1.4   1.89
7.31561    -4.813   7.38901   -4.86524   0.2   10   1.4   1.89
7.47205    1.20515   7.46401   1.30976   0.125   8   1.4   1.89
7.51557    -1.69276   7.53901   -1.69024   0.125   10   1.4   1.89
7.58465    4.37234   7.58901   4.35976   0.075   7   1.4   1.89
-9.96368    7.09558   -9.95525   7.09471   0.025   4   1.9   2.39
-7.61441    -7.47532   -7.60525   -7.53029   0.075   5   1.9   2.39
-7.45031    1.30797   -7.43025   1.26971   0.125   22   1.9   2.39
-7.28432    -1.52591   -7.28025   -1.60529   0.1   13   1.9   2.39
-7.24689    4.46233   -7.23025   4.51971   0.15   30   1.9   2.39
-7.26683    -4.43613   -7.30525   -4.50529   0.1   11   1.9   2.39
-6.98448    7.35833   -6.98025   7.36971   0.075   6   1.9   2.39
-4.503    -7.79116   -4.55525   -7.80529   0.1   9   1.9   2.39
-4.5134    -4.81997   -4.50525   -4.93029   0.125   11   1.9   2.39
-4.29948    -1.18888   -4.33025   -1.25529   0.1   14   1.9   2.39
-4.22956    4.2805   -4.23025   4.19471   0.175   9   1.9   2.39
